ods_code,ods_name,has_ae_last_six_months,used_aa
RXW,The Shrewsbury And Telford Hospital NHS Trust,True,True
RA9,Torbay And South Devon NHS Foundation Trust,True,True
RWD,United Lincolnshire Teaching Hospitals NHS Trust,True,True
RRV,University College London Hospitals NHS Foundation Trust,True,True
RHM,University Hospital Southampton NHS Foundation Trust,True,True
RRK,University Hospitals Birmingham NHS Foundation Trust,True,True
RA7,University Hospitals Bristol And Weston NHS Foundation Trust,True,True
RKB,University Hospitals Coventry And Warwickshire NHS Trust,True,True
R0D,University Hospitals Dorset NHS Foundation Trust,True,True
RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,True,True
RWE,University Hospitals Of Leicester NHS Trust,True,True
RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,True,True
RJE,University Hospitals Of North Midlands NHS Trust,True,True
RK9,University Hospitals Plymouth NHS Trust,True,True
RYR,University Hospitals Sussex NHS Foundation Trust,True,True
RBK,Walsall Healthcare NHS Trust,True,True
RWW,Warrington And Halton Teaching Hospitals NHS Foundation Trust,True,True
RWG,West Hertfordshire Teaching Hospitals NHS Trust,True,True
RGR,West Suffolk NHS Foundation Trust,True,True
RKE,Whittington Health NHS Trust,True,True
RBL,Wirral University Teaching Hospital NHS Foundation Trust,True,True
RWP,Worcestershire Acute Hospitals NHS Trust,True,True
RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",True,True
RLQ,Wye Valley NHS Trust,True,True
RCB,York And Scarborough Teaching Hospitals NHS Foundation Trust,True,True
